,PC1,PC2,PC3,PC4,PC5
ADSS,0.977479709556028,0.935298636098288,0.945761998890036,0.946197089348424,0.946715506972422
AGTR1,0.925221835594611,0.956125677987884,0.938945711822799,0.948618595837884,0.943951802724713
AGTR2,0.956025003790761,0.96204101912371,0.946132544706614,0.946348264995305,0.945919919516541
AGXT,0.982199492104454,0.954126496716138,0.947143979055113,0.942567900912418,0.946430964909601
AHCY,0.972915813045892,0.925194056666772,0.946886093898644,0.946279724642369,0.945370626379803
AHR,0.9994358481465,0.937000846361931,0.945497859173791,0.946689630421657,0.947069914789614
AKR1A1,0.990749432868744,0.941636774148295,0.946216126430317,0.941847029954254,0.94320775772651
AKR1B1,0.964444636663618,0.942067585978664,0.951095030374796,0.944594857429986,0.947840610965771
AKR1B10,0.986642208770952,0.957318186702065,0.947946827560702,0.940804087792405,0.946389701946871
AKR1C2,0.990893188202467,0.949837594884805,0.947461887739856,0.945631767824744,0.950347058185334
AKR1D1,0.969081760925865,0.956242942144022,0.947283684880857,0.941477047463368,0.946575712015415
AKT1,0.153212549840043,0.94450761027661,0.94500040484591,0.944619555866237,0.946430025549812
AKT3,0.613920875944171,0.959086884232031,0.946533896744315,0.949298178901147,0.950252263290162
ALAS1,0.964342184776961,0.936352991549251,0.947116697634771,0.946525952224714,0.946129547899208
ALAS2,0.98224586132137,0.956893128636435,0.946357002988636,0.946224357853483,0.945927433304295
ALB,0.938531613499142,0.964744135781264,0.946001990778093,0.946332868558084,0.945812815608347
ALDH18A1,0.986183938205873,0.931535688282463,0.94652878938325,0.946108284983076,0.946861487186378
ALDH1A2,0.995449459821305,0.959588117658583,0.945341287139188,0.946065238135894,0.946607607636948
ALDH1A3,0.973355698783362,0.950043359607901,0.947408679826125,0.945649530047188,0.950191419524388
ALDOA,0.946544548274068,0.921798703877045,0.945116525109359,0.946071438752364,0.946066154972277
ALOX5,0.995387186106902,0.956073560217621,0.946027752119819,0.946289683479229,0.946040822900608
AMD1,0.982019914477874,0.944189878894028,0.950348906245364,0.949516509618226,0.947397405898269
